SPRING 2026 COMBINED UNDERGRADUATE LECTURE TIMETABLE FOR ENGLISH SPEAKING SUB-SECTION,,,,
MONDAY,,,,
TIME,COURSE,LECTURER,HALL,
8:00 - 11:00,JMC 3271 Digital Marketing,Mr. Ekane Lesley,Terry and Linda Byrd Hall,
,ICT 2230 Introduction to IOT and Embedded Systems Group 2,Dr. Keyampi,BS Chumbow Hall,
,ICT1210 Object Oriented Programming with C++ Group 1,Dr. Nkandeu,J-E. Pondi Hall ,
,CSC 3221 Introduction to Data Science Group 2,Dr. Fotsing,Eric Mbarika Hall,
,BMS3235 Project Management ,Dr. Agbor Nchacha,IT HAll,
,ICT 2235 Database Management Systems Group 1,Engr. Tanwi,George Mbarika Hall,
11:00 - 14:00,CSC 1121 Research Methodology for Computer Science Engineers Group 2,Dr. Fotsing,George Mbarika Hall,
,ISN 3232 CCNA 2,Engr. Andrew,IT HAll,
,ICT 2223 Java Programming II Group 2,Engr. Mughe,J-E. Pondi Hall,
,ACC 3210 FUNDAMENTAL PRINCIPLES OF TAXATION (ECOWAS/CEMAC),Mgr. Ayuk Collins ,Terry and Linda Byrd Hall,
,ICT 2230 Introduction to IOT and Embedded Systems Group 1,Dr. Keyampi,BS Chumbow Hall,
,REN 3262 Application of Renewable Energy Software,Engr. Djongagew,Eric Mbarika Hall,
,,,,
14:00 - 17:00,BMS3233 BUSINESS LAW,Dr. Ngome-Nkwelle,Terry and Linda Byrd Hall,
,ACC1212 Accounting Information Systems,Mr. Njabe Charles,J-E. Pondi Hall,
,ICT 2223 Java Programming II Group 1,Engr. Mughe,George Mbarika Hall,
,SEN 3243 Advanced Web Development Group 2,Engr. Tanwi,BS Chumbow Hall,
,REN 3264 Power Plant Technology,Engr. Djongagew,IT Hall,
,,,,
TUESDAY,,,,
8:00 - 11:00,REN 3265 Embedded Systems,Dr. Nkandeu,IT Hall,
,MTH1201 Real Analysis II Group 1,Engr. Nebasi,J-E. Pondi Hall,
,ACC3217 FINANCIAL ACCOUNTING,Mme Atemlefeh Vanessa,Terry and Linda Byrd Hall,
,MTH 2222 Computational Mathematics Group 2,Engr. Andrew,George Mbarika Hall,
,SEN 3242 Android Application Development Group 1,Engr. Moune,BS Chumbow Hall ,
,JMC 2272 Newspaper Editing and Printing,Mme Agnang,Eric Mbarika Hall,
,,,,
11:00 - 14:00,ACC4214 Forensic Accounting,Mme Atemlefeh Vanessa,IT Hall,
,MTH 2222 Computational Mathematics Group 1,Engr. Andrew,J-E. Pondi Hall,
,MTH1201 Real Analysis II Group 2,Engr. Nebasi,George Mbarika Hall,
,BNF4227 Public Finance,Mr. Aben Jacob,Terry and Linda Byrd Hall,
,SEN 3242 Android Application Development Group 2,Engr. Moune,BS Chumbow Hall ,
,JMC 3275 Film & Documentary Making,Mme Agnang,Eric Mbarika Hall,
,,,,
14:00 - 17:00,ACC4211 Government Accounting,Mgr. Ayuk Collins ,Eric Mbarika Hall,
,ISN 3231 Network Management,Engr. Nebasi,George Mbarika Hall,
,BNF3225 International Finance,Mr. Aben Jacob,IT Hall,
,BMS2237 Seminar in Sustainable Development II,Mr. Epie Ananfah,Terry and Linda Byrd Hall,
,ICT1210 Object Oriented Programming with C++ Group 2,Dr. Nkandeu,J-E. Pondi Hall,
,BMS 4238 Project Management,Engr. Moune,BS Chumbow Hall ,
WEDNESDAY,,,,
8:00 - 11:00,JMC 2276 Music Production,Mme Tita,IT Hall,
,ECN1242 Principles of Macroeconomics ,Mr. Ekane Lesley,J-E. Pondi Hall,
,ICT 2235 Database Management Systems Group 2,Engr. Tanwi,George Mbarika Hall,
,SEN 3244 Software Architecture,Engr. Palma,BS Chumbow Hall,
,,,,
,,,,
11:00 - 14:00,ICT1220 Introduction to Networking Group 2,Engr. Mughe,George Mbarika Hall,
,SEN 3241 Software Validation and Verification,Engr. Palma,BS Chumbow Hall,
,BMS1232  KNOWLEDGE LEADERSHIP & AFRICAN DEVELOPMENT,Dr.  Ndah Grimbald,J-E. Pondi Hall,
,SEN 2243 Introduction to Game Development,Engr. Moune,IT Hall,
,BNF4228 Investment Analysis      ,Mr. Ekane Lesley,Terry and Linda Byrd Hall,
,JMC 3274 Entrepreneurship in Media,Dr. Yong,Eric Mbarika Hall,
,,,,
14:00 - 17:00,,,,
,"ICT 2220 Object Oriented Analysis, Design and Implementation Group 2",Engr. Palma,George Mbarika Hall,
,CSC 3221 Introduction to Data Science Group 1,Dr. Fotsing,BS Chumbow Hall ,
,BNF2222 Risk Management,Mr. Njabe Charles,Terry and Linda Byrd Hall,
,ICT1220 Introduction to Networking Group 1,Engr. Mughe,J-E. Pondi Hall,
,JMC 3276 Sociology & Psychology in Media,Dr. Yong,IT Hall,
THURSDAY,,,,
8:00 - 11:00,ICT 2231 Operating Systems Group 1,Engr. Tanwi,George Mbarika Hall,
,JMC 2271 Mobile Application Development for Journalists,Dr. Nkandeu,IT Hall,
,ACC1213 PRINCIPLES OF ACCOUNTING 2,Mgr. Ayuk Collins ,J-E. Pondi Hall,
,ECN2243 Statistics for Business and Economics,Mr. Ekane Lesley,Eric Mbarika Hall,
,ICT 3212 Advanced Database Systems,Engr. Moune,BS Chumbow Hall,
,JMC 3273 Research Methods in Media,Mme Tita,Terry and Linda Byrd Hall,
11:00 - 14:00,CSC 1121 Research Methodology for Computer Science Engineers Group 1,Dr. Fotsing,J-E. Pondi Hall,
,CYS 3251 Network/Computer Forensics,Engr. Nebasi,BS Chumbow Hall,
,BMS2238  Introduction to E-Commerce,,Terry and Linda Byrd Hall,
,BNF3226 Financial Institutions and Instruments,Mr. Ekane Lesley,Eric Mbarika Hall,
,ICT 2231 Operating Systems Group 2,Engr. Tanwi,George Mbarika Hall,
,JMC 3272 Cyber Journalism,Mme Tita,IT Hall,
,,,,
14:00 - 17:00,JMC 2273 Radio and TV Programme Writing,Mme Tita,Eric Mbarika Hall,
,EGL1262  Communication Skills,Mme. Bambot Delphine,J-E. Pondi Hall,
,BNF4229 Financial Management ,Ms. Tarbot chelsea,BS Chumbow Hall,
,ACC3219  Advanced Accounting Information System/Accounting Lab,Mgr. Ayuk Collins ,Terry and Linda Byrd Hall,
,ISN 2231 Computer Networking and Security,Engr. Nebasi,IT Hall,
